#separator:tab
#html:true
#guid column:1
#tags column:3
"B-N|kF-#aW"	-(r)on; -ir; -or	agental suffix (suf)	
eR]$M=!jw	lor-	to dream (tr.); to sleep; to sleep deep; to slumber (vb)	
fmjUe?{^zi	lorn	asleep (adj)	
Jx-`1ct:zZ	lortha-	to put to sleep; to send to sleep (vb)	
o!:UQ_FXHk	losbas	ryebread (n)	
P]E*VkGcXP	losc; losg	rye (n)	
L:x[SY@x18	lossen	snowy (adj)	
Dk<2{vb[D9	losta-	to bloom; to blossom (vb)	
G2&C,eMVCx	lostad	blooming; florescence (n)	
lClK4C{AY(	lost; nil	empty (adj)	
Ho4qAcnyc:	lothalan	(lit.) floating platform; raft (n)	
L3rRn.MZKE	lotheg	*floret; single [small] flower (n)	
e)ek*_$yIs	loth	flower; head of small flowers; inflorescence; lily; single blossom (n)	
OhV4.F;Vta	loven	echoing (adj)	
mV&q421Og4	lo (conj)	while (conj)	
VA5i.N;96	luig	minute; moment (n)	
D=B/q}%p,0	luin	blue (adj)	
AtSvg5B^E$	lui	*bruise; blueness; livid mark; livor (n)	
q{6pQd)~._	lummor	foul weather (n)	
PlBE?KE+F9	lumren	overcast; shady (n)	
CH36Qbf8^d	lum	*a thing blocking light; [dark] cloud; cloud; shade (n)	
P(nKkDJ;o2	lung (adj)	grave; heavy; serious (adj)	
P?<M=/:9,l	lunt	boat (n)	
B`.4olZA@+	lurlos	(lit.) flower of sleep; poppy (n)	
z]1eBnSO3T	lígu	candle (n)	
x97L_fWFk!	lín	*thy (pron)	
O?4R~hJc15	lítha-	to (intr.) to be lost; to forget; to let slip; to lose; to mislay (vb)	
e9WlvqA$Iu	lîdh	journey (n)	
nh9]]dsC!<	lîf	*joint; link (n)	
>r,+)yGMz	lîg	wax (n)	
b,;.JCWs}o	lîn	mere (n)	
r!K+D%.qEQ	lî	a crowd of folk; folk; many people; people (of one kind or origin); ‘they’ (n)	
uOLyOdE+Wj	lóran	(lit.) growth-cycle; seasonal year (n)	
Bnen&(ay%r	l(h)ô	fenland; flood (n)	
oSTQG&y5Um	lúda-	to *happen; to come to pass; to occur; to pass (of time) (vb)	
kGQU@v)+|3	lútha-	to enchant (vb)	
CVHx;?jD!%	lúthad	enchantments; sorcery (n)	
P!&wqrY%6<	lûb	(fat) flesh; fat (n)	
O~,pTMiY?,	lûg	bend; deceit; guile; loop; twist (n)	
"F#=HTHS1zR"	lûr	sleep; slumber (n)	
Dl{2iKF_n=	lûth (Agriculture and Vegetation)	blossom; inflorescence [on a single plant] (n)	
"D(#6`c|%>i"	lûth (Religion and Beliefs)	charm; spell (n)	
i~3/6u4fTV	lŷg	snake (n)	
FmCCUl[re(	mab-	to *grasp; to grab; to seize (vb)	
"Id)LFB{#<{"	mabed-	to ask [a question] (vb)	
uH6kwkc.!3	mablanthos	sycamore (n)	
l4Tv[z.W?z	mabrenas	dexterity (n)	
z]tuca*z,X	mabren	dextrous; handed; having hands (adj)	
iZIEy3umN`	mad-	to eat (vb)	
FguCpO(qg)	madha	mud (n)	
kFjH|L=q>/	madhren	muddy (adj)	
l]T>TJ<,(H	madriol; madui	edible (adj)	
Pcx@n8~1(5	madweg	gluttonous (adj)	
zvaj%s]wwQ	mae (adj)	pliant; soft (adj)	
KwOH]C4R2^	mae (adv adj)	admirable; excellent; well (adv adj)	
N-d[Km$)L?	maeas	dough (n)	
O&eon9?yPn	maecheneb	sharp-eye[d] (adj)	
GSEF=s_3y!	maed (Emotion)	*pretty (adj)	
"gY#/Y0uQrp"	maed (Physical Acts and Materials)	handy; skilled; skillful (adj)	
Rf_4}-JBDe	maedol	welcome (adj n)	
Km5p`]nr*W	lectha-; maegra-	to sharpen (vb)	
cV?,pva03U	maeg	*penetrating; piercing; sharp (adj)	
l1&ZH%Rvni	mael (adj)	well (adj)	
lUq{w@8:7J	mael (n adj)	stain; stained (n adj)	
M3[ee&h9(+	mael (n)	lust (n)	
I[^{wDk+<{	maeligeb	rich; wealthy (adj)	
u-@;l/]/FO	maelig	abundance; wealth (n)	
b0JI9B%Ct&	maelui	lustful (adj)	
p(X,}5?WH;	maenor	craftsman (n)	
G(SBJk.6&g	maen (n)	a treasure (n)	
lbXX|}z:W?	maeras	goodness (n)	
FhY~capdqk	maeron	artist (n)	
h4qLfqAJ+0	maer	excellent; fair; fit; good; good (of things); useful (adj)	
w4[^>O5=xC	maetha- (Physical Acts and Materials)	to deal with; to handle; to manage; to treat; to use; to wield (vb)	
L$&@Yrjg^[	maethas	*authority; control (n)	
7^;.D{t-v	maetheb	having control or authority (adj)	
uAjZHNT7^I	maeth (Social Relations)	management (n)	
wU~FEDw|mc	maga-	to forge metal (vb)	
B-BPBqsC05	magor	swordsman (n)	
DOP-7a3Thc	main (adj)	chief; pre-eminent; prime (adj)	
H|X8.x&:?,	mair	precious (adj)	
Gzx1>H~<Ku	maith	goal; intention (n)	
"C#UGv{#1d7"	mallorn	gold tree; yellow tree (n)	
jo3clnHMq.	mallos	golden flower (n)	
A|?WG$T-8`	mallú	(orig.) what time; when (adv)	
KBr]CDpaah	malthos	butter cup (n)	
McQ06DSsCT	malt	gold (as metal) (n)	
PY4e3<9mLY	malu	fallow (adj)	
ceX5EF(uWb	mam	grandmother (n)	
}eV>2RU/P	manc	grip; hold (n)	
t,wQ`15[*c	mang	butter (n)	
v2qp&Fsq4i	man	*what; who (pron)	
QM]blk>P&N	masta-	to [put to] feed; to feed; to graze (vb)	
yUckQY?w&X	mast	feed; fodder; food; nourishment (n)	
QsK=V4<~7=	mathad	appraising; assay; caressing; feeling; handling; stroking (n)	
JW)Gbk9sm4	maul (Food and Drink)	flour (n)	
NTgpU*^C&(	maus	pleasant; pleasant taste; pleasure (n adj)	
t1YoD*jq=.	mav-	to like (vb)	
tg`?hwioM3	mavor	appetite (n)	
Kqe6B*ujH^	mavras; mavros	desire; eager longing (n)	
Bi{_P.eiXg	mavren; mavrothwed	delectable; delightful; desireable (adj)	
"kr4fHSk#q8"	mavron	herdsman; shepherd (n)	
taJ0edpg0s	mawedh	glove (n)	
ls6?;R{T<z	ma	excellent; good; that’s right (interj)	
yEexI!uIAz	mechor; naith	gore (n)	
B-&%.r:gO{	medhia-	to knead; to soften (vb)	
B])OWkp]21	media-	to feed (vb)	
zbPCGJV)]`	medlin	*bear-like (adj)	
"dba#;h6F1*"	medlivorn	blackbear (n)	
Ap*LxOts63	medli	(lit.) honey-eater (n)	
Ou$nW_=j7w	medui	end; final; last (adj)	
q.XNMyct3+	megil	longsword (n)	
j%2gOaUKWi	megr	sharp-pointed (adj)	
tx!k|@}|0<	meiras	preciousness; value (n)	
FY.fkJ>|)j	meitha-	to *have as a goal; to aim at (vb)	
MS&!XW/v3e	meithas	meaning (n)	
K)zSM:_*OP	mel-; mela-	to love (vb)	
BW|vz~1f4r	melethel	darling; sweetheart (n)	
y[J]%,S>L4	melillin	(orig.) yellow song; daffodil (n)	
Ez3>BR0jRg	melingarn	orange; tawny (adj)	
d9:Z[_R`NH	mellavan	(lit.) love-animal; pet (n)	
wMF>I9L&<!	mellon	friend (n)	
n&k8:81;jQ	melui	lovely (adj)	
G|jvoB`u1E	men (pron)	us (pron)	
k=<6ww.T|)	men-; mútha-	to go (vb)	
"L.zCTn#Kt:"	meneg	*large in number; thousand (cardinal)	
"tyO:eIq#l;"	menel	firmament; region of the stars; the heavens (n)	
EI`e02c%,6	mengui	thousandth (ordinal)	
uO]rrB&Hbc	menna-	to (lit.) make go; to send (vb)	
lY~;d-Yq/o	ment (Language and Music)	message (n)	
w;fjW^eFjO	mer-	to desire; to want (vb)	
J$*u[SUoMp	meren	festive; gay; joyous (adj)	
p8SdY@{W[{	mereth	feast; festival (n)	
JL|;;S/.qM	merifind	Black-haired (adj)	
uPtOVaI)dR	meril	rose (n)	
N&7V5&=@3l	mertha-	to gladden; to make happy (vb)	
w+;bi[.dsx	meru	valuable; worthy (adj)	
hG89Cd):a9	meth; methed; nel; tele (n)	end (n)	
LWe!A}+3_a	meth; tell (adj)	last (adj)	
uvzY[E*[Q5	me	we (exclusive) (pron)	
qV-vc`{<j;	mib	(little) kiss; peck (n)	
CsYc{X)[H_	milbar	beloved dwelling [place]; dear home (n)	
"v#4rJbJV|c"	milf	greed (n)	
"n+HJd#($75"	milt	semen (n)	
K~AL=jJhiu	min (cardinal)	one; single (cardinal)	
y8iA=1Jnbg	min (n)	peak (n)	
PNGZa0J^&M	minai	distinct; single; unique (adj)	
t8jv{n$3zS	minas	city (with a citadel and central watch tower); fort; tower (n)	
shJ_kcS6Z>	minib	eleven (cardinal)	
rYgN<5>^<Y	minlamad	(lit.) first-echoing; ?alliteration (n)	
e~SVAu0Jag	minna-	to enter; to go in (vb)	
Bo_JP4.RZG	minol	ingot (n)	
jT4NC1E[*d	minuial	(dawn) twilight (n)	
bQZA6Qar$p	mirian	Gondorian coin (n)	
QKh1!6Cxuc	mirith	jewelry (n)	
lDHpZZTG0%	mirtha-	to cherish; to esteem; to treasure; to value (vb)	
i+b^<6tFA9	miruvor	a special wine or cordial (n)	
da./eJIAC/	mirwelthen	*(lit.) wine pressing; vintage (n)	
"n0RT=?Ddy#"	mirybin	(lit.) wine-berry; grape (n)	
cvq/^n)jFF	mithril	Moria-silver; true-silver (n)	
d=A~{m3V=B	mith	light grey; pale grey (adj)	
"i.NJb|nX.#"	mivan	(lit.) in/at what; where (adv)	
j<7;O6)96E	mi	*in (prep)	
"mykBw.O<#k"	mol-	to grind; to pulverize (vb)	
FkChI2Splg	molif	(lit.) hand-link; wrist (n)	
eg`?o%dTXB	molnel	molar (n)	
inyW;+}s~	molor	mill (n)	
sI/LGD]|9.	morchant	(lit.) dark shape; shadow cast by light (n)	
"w;?@bK@V#/"	morgul	black arts; necromancy; sorcery (n)	
"Qdjw~[EL#["	mornechui	coffee (n)	
IMaIXmls$K	mothren	dusk; dusky (adj)	
"y+y#Oi$G^2"	moth; tinnu	dusk (n)	
C+`QHUeT$g	movan	(lit.) by means of what; how (adv)	
AR<?upIzm.	mo	by (agent of) (prep)	
NXx}<-/AKW	muia-	to caw; to meow; to moan; to whimper; to whine (vb)	
wIwDc;Cb$b	muig (adj)	gentle (adj)	
F@tQM/w45t	mui; muig (n)	cat (n)	
"rAL*#$w)cr"	muil	drear[iness] (n adj)	
oBsjD6i;CG	muis	gentleness; softness; tenderness (n)	
h)r)-ol$ff	mund	bull (n)	
Nz<V$^eb_H	munneg	calf (n)	
u?am90^H1)	munnost	byre; cowhouse (n)	
bohB3%QWo2	mâd	meal (n)	
Fg7+QFibwQ	mâf	pile or mass of rock or earth (n)	
P),0~RpGK!	mâl	pollen; yellow powder (n)	
rO4i.]L~3d	mínem	motion picture; movie (n)	
H2pRekwn|V	mín	our (pron)	
cfPdEyzAz{	mírad	treasury (n)	
"KQdm##.Mnw"	mírdan	jewel smith (n)	
oED7ySK>eu	míria-	to sparkle like jewels (vb)	
K$tn]GiBN/	míriel	like a jewel; sparkling like jewels (adj)	
t^>5!JN:Ao	mîdh	*moisture; damp(ness); dew (n)	
qz@yJXJ_7r	mîg	among (prep)	
I^oL@a64^>	mîn (Motion and Transportation)	motion (n)	
OO9@75WyrQ	mîn (Spatial Relations)	[thing] between; anything intervening between two other things; barrier; gap; space (n)	
Qdg,$iY=/.	mîr	jewel; precious thing; treasure (n)	
KL?WI4co3K	mî	(to the) inside; into (adv prep)	
n)2B7*d5S+	môr (n)	dark(ness); †night (n)	
bTUPk[ua[V	mûg	dung (n)	
rAJ$&<M3KF	mûn	womb (n)	
"C#m[|w<^Ry"	na (Grammar)	accompanied by; along with; associated with; by; marked with; provided with or by; with (prep)	
bcT!ec9e?	na(n)	associated with; marked with; provided with or by (prep)	
D[}2tJV|-A	na-	to be (vb)	
JA:!b]c9NR	nab-	to lay hold of; to take (vb)	
IRXX=K/,(t	nabant	(lit.) towards full; almost (adv)	
eEaK_2z5Do	nabas; naboth	seizure (n)	
sT%|GC=~_f	nabor; naw	booty (n)	
"Du#q1=u`<s"	naden	as far as; until; up to (prep)	
L9tyohzx{;	nadha	fetter (n)	
jPtrum7~nB	nadren	possible (in sense possible to exist or think of); real (adj)	
MD&R~~u^pf	naeag	goat (n)	
"L<6UtT#)8w"	naeda-	to cause great grief to (vb)	
g?=UE4o!08	naedh	wounding (n)	
scn@x<1{@z	naed	real; true (adj)	
A>Fa>N.Ii!	naegos	anguish (n)	
c<DE[vj4*p	naegra-	to pain (vb)	
jeN/jE*Hk~	naena-	to lament; to make moan for; to wail for (vb)	
"xc6m#UCxVk"	naeras	sorrow; woe (n)	
z:Sdi~}EIL	naergon	woeful lament (n)	
lQ3!0`&%wg	naer	lamentable; unendurable (adj)	
pHX-M]9=a@	naeth (Emotion)	biting; gnashing of teeth; woe (n)	
kr$:{YN.h7	nagnel	incisor (tooth) (n)	
iocyDdr5DD	naith	narrow prominitory; spearhead; wedge (n)	
BpJ}$f+:xu	nala	(yellow) lily (n)	
BY{*EyRWD4	nalla-	to cry (vb)	
j$B(NA8pUh	naman	(lit.) with what; how (adv)	
tu/$B5a+rR	nan(d)	dale; vale; valley; wide grassland (n)	
oHoh@KBR)2	nanc	bite (n)	
"QI#;o3=#/X"	nanu	truth (n)	
vvB,dM4i|`	nanwen; thand	true (adj)	
EUyJ:A@:F1	a; na(n); o (prep)	of (prep)	
bN+P+Ay^$P	narch	bitter-biting (adj)	
t/SJyk*6%6	narn	saga; tale (n)	
n.~=COt|f-	narphen	character [in a story] (n)	
B=)<_E(:L3	narthan	beacon (n)	
n29*HayxU(	narth	(lit.) product of recitation; list (n)	
t-ILyz?f:K	narvaenas	firework (n)	
lDl_NdrkM%	nast	being (abstract); being (creature); being (used for both a creature and the state of existence) (n)	
iSn-:>K}Ka	natha-	to bring help to; to rescue; to save (vb)	
k+R`??l[JH	nathal; othol	guest (n)	
lL2Mhg<`1C	nathla-	to welcome (vb)	
l3[27MZOZ4	nathol	affable; kindly; welcoming (adj)	
xS-S$bwB@2	nathren	agreeable; welcome (adj)	
t]6ljiP8A`	naug	dwarf(ed); stunted (n)	
pH&xBSl{pD	navan	(lit.) at/to what; to where; where; whither (adv)	
J,c2b-x+R]	naw (interj)	yes (interj)	
bw^LPwj=iO	nederphaen	ninety (cardinal)	
zzf63*|sU%	neder	nine (cardinal)	
Jw9p(;&Zl@	nedhor	mid-day; noon (n)	
E[sB[aNt0J	nedhu; nef	bolster; cushion (n)	
beIYrWikf^	nedhwad	(lit.) middle-meal; lunch (n)	
pVc!OLG4>,	ned	*one more (n)	
wCUH[8:a^:	negen	angular; sharp (adj)	
v&:iZ6AHD)	neitha-	to deprive; to wrong (vb)	
e3:8b]w[!{	neithan	exile whose rights and goods have been confiscated; one deprived (n)	
"EZ*66#*sZ}"	neldor	beech (n)	
mG45$:q=(3	nelio	buckwheat (n)	
l4amgp4Kyx	nellad	ringing; sound of bells (n)	
MQGLV!k5i?	nelluin	bluebell (n)	
eNj6s96[sY	nelphaen	thirty (cardinal)	
"j0ShlD#v?-"	nemmas	evidence (n)	
v(Tba1M}``	nem (adj)	evident; probably but not necessarily so; seeming (adj)	
m>Ii^WdHz}	nend	watery (adj)	
BFWwz{Y>Y+	nennibis	(lit.) water snowflake; waterlily (n)	
OO}/9Qcuc_	nen	(lesser) river; stream; water (n)	
O1Y,f,D{`F	nepheg	(lit.) mid-spot; mid-point (n)	
tMBwU[ZGl<	ness	(water) meadow; *headland; long grass (n)	
vYT~Oq,<P_	nethan-	to inspire; to kindle inside (vb)	
mONN[s]s$}	nethia-	to (orig.) to make welcome; to entertain (vb)	
"hH#d578yPU"	gwest; gwîs; nethias	entertainment (n)	
EJV.nIb6VV	nethig	girl (diminutive) (n)	
QfI2FF+_6%	nethor	flock; herd (n)	
"f=_(K^#K{>"	neth	(little) girl (n)	
Cj.:A.D,Ot	nev-	to appear; to seem (vb)	
kR%9^i&q$$	nevia-	to bring close; to localize; to translate (into another language when used with the dative case); to translate (into your own language) (vb)	
B>&EZ|_`3c	nevra-	to face; to go forward (vb)	
qKhhoO-c67	nevui	nearly (adj)	
J};>7uepf5	niben	*small; petty (adj)	
s:`Bk8z*pN	nibis	snowflake (n)	
e6Aj.5+f|i	nich	frost (n)	
u<FLTlO0Nl	nidh-; thel-	to will (vb)	
odjIKq{la5	nigol	(lit.) small one; mouse (n)	
q=$SUC%v+F	nigren	(orig.) mouse-like; stealthy (adj)	
rX%Yv|N^0g	nimmas	whiteness (n)	
E2$$^o4^K:	nimp	pallid; small and frail; wan (adj)	
MaJ~i>}e!I	nim; nimp	white (adj)	
wByjDXyyGl	gledhrin; lhind; nind; thlind	slender (adj)	
oxMk>FM-}f	ninglor	*yellow iris; golden water-flower (n)	
fOAeIf10BA	ninna-	to *cry (tears); to weep (vb)	
DC@DB}i~]P	elianw; ilvrant; ninniach	rainbow (n)	
P(a0l4GK<I	nin	me (pron)	
mCf``3SUP;	niphredil	*(lit.) pale point; white flower (similar to a snowdrop) (n)	
s!t$Uh.bS6	nirnaeth	lamentation; tears (n)	
v$4<7@3VHc	nista-	to force (in a given direction); to press; to thrust (vb)	
vnkq+c%5c;	niwrim	swarm (n)	
f)GCQ(>Hfe	ni; ni- (pron)	I (pron)	
i=0S,e|)@8	nobad	*(lit.) pickers; thumb and index finger as a pair (n)	
cYuep;[7X)	govron; gronoch; noch	acorn (n)	
n7pn6Ah0C+	noden	face down; prone (adj)	
c/AWc,V|WS	nodui	few; several (adj)	
Cu(=5K4iF9	nogen	*(orig.) short (of persons); boy; lad; urchin (n)	
xO>|Hk$[V1	nor-	to roll; to roll [of vehicles]; to run; to run (or leap) of animals or men (vb)	
nC/8{&b]45	norna-	to complain of (vb)	
sQ@kYC]x~;	nornad	complaint (n)	
"uy$ps%J#Zn"	northa-	to *ride; to make run; to send rolling; to send rolling [as a vehicle]; to speed (vb)	
bqUEe>%(W_	north	charge or gallop; race (of people running); riding (n)	
"L.ccuKt#mY"	norweg	often running (adj)	
ya+bB:[T<:	nos(s)	clan; kindred; race; tribe (n)	
GYzW[j:{yZ	nosta-	to smell (vb)	
Jd/MgDsp=D	nothlir	folk (n)	
O1GoXp&w[q	novaer	(lit.) be well; farewell; goodbye (interj)	
KNpXXv1=T2	nuicha-	to *(orig.) to smell [something]; to perceive; to take notice (vb)	
Qz8bFqslN<	nuitha-	to not allow to continue; to prevent from coming to completion; to stop short; to stunt (vb)	
jp~;pGu-C=	nui	before (of time) (prep adv)	
N4CBx_`E]{	nunna-	to *agree; to *nod; to assent; to bend face down; to incline head (vb)	
j1V7-FuL=U	nu	under (prep)	
Mwgx;fR~gy	nída-	to cry (tears); to weep (vb)	
KFy,_WqMI-	nídha-	to be determined to (vb)	
"ej9#FN|?M+"	nín	my (pron)	
B8.XB!HwEz	nírol	*sorrowful; sad; sorrowing (adj)	
sPSx@n1v}}	nítha- (Physical World)	to hail (vb)	
kEwb?9]iT:	nítha- (Spatial Relations)	to make small; to reduce (vb)	
gZZnSLql:_	níthannen	to minor; to reduced (vb)	
GgK742l!vU	níwost	hive (n)	
z,:Ioie4:w	nî-	to was (vb)	
q{lRIw`se&	nîdh (Food and Drink)	honeycomb (n)	
yYX64+@KNy	nîdh (Mind and Thought)	exertion of will; full vigorous purpose (n)	
n=|2OEmqMW	nîn (adj)	*watery (adj)	
NM}%E+0|2N	nîn (n)	tear; weeping (n)	
"wDhe7i#fFv"	nîw	bee (n)	
RaA9y^gGbW	nî	at one time; once; was (adv)	
kh^]YHQ-hl	nŷw	noose; snare (n)	
n?0962T7Hn	och	egg (n)	
ewi}mE.Lc^	odlad; oglad	week (n)	
dq7M[x`*OS	oer	nasty (adj)	
Eg)(%UH5o:	oetha-	to lay eggs; to nest (vb)	
"IU[uZf<#r@"	oew	an evil deed (n)	
KbTBN85&R0	oglas	*evil; wickedness (n)	
!lB,jItI}	ogod	knee (n)	
"vaZ*Y:p_R#"	ogol	evil; gloom(y); wrong (adj)	
L@EOU/$aK/	ogron	wicked or evil person (n)	
vXh%<mB2>%	ol-	to pour (vb)	
B%LAnZK:qa	ola-	to become (vb)	
"im&#/t4r:L"	olf	*pitcher; flagon; jar (n)	
"f`#y52[z)g"	olla-	to *trickle; to ooze (vb)	
pG8A7Nbz-C	olost	dreamy; drowsy; lazy (adj)	
njtKrO;eq%	olui	dreamy (adj)	
uE)A3J*f[5	oman	(lit.) from what; from where; whence (adv)	
qZl[$-VjA)	omlos	(horse) chestnut tree; chestnut tree (n)	
Hi<uJn`4@)	oneth	*giving (n)	
EP!BH>@RMI	onna-	*to birth; ?to beget; to give birth to; to make born (vb)	
siHRHy|Vh_	onnad	birth (n)	
Oq;S}FJ?qd	onnen	born (adj)	
EDhwNIAf%K	ont	no; none (adj adv)	
bAD_P^sF6N	or- (Time)	-day (pref)	
FwDzJX=9Xt	ora-	to heat up (vb)	
P{>9MQzao(	orchal	eminent; superior; tall (adj)	
fkvp,>)3@a	orchen	(lit.) day-eye; dandelion (n)	
jmY]-~wqu8	orch	Orc; goblin (n)	
i8XFv;:oN<	hunn; ordh	pus (n)	
pii[i(N*1j	orfing	*(lit.) hair-apple; pear (n)	
yt9&(%yf?y	orf	apple (n)	
HLph)U+z3o	orna-	to burn (tr. and intr.) (vb)	
Dh4Q*D=R>-	orn	(tall straight) tree (n)	
po$qpuaid=	orodben	mountaineer; one living in the mountains (n)	
o)zZ>.7$&L	orod	mountain (n)	
qR@J;WG1Mn	noss; oronnad	birthday (n)	
jsMH<Z~_Rz	oroth (Emotion)	anger; rage (n)	
B0+mFcGLPe	ortha-	to raise (vb)	
tFHl5DVHkz	orthad	*raising (n)	
kgw7TW^YM{	orth	upper (adj)	
"G#6=!lqSbd"	orvel-	to *(lit.) love above; to favour (vb)	
xC-q*YXdF:	osgaef	environs; milieu; surroundings (n)	
g_32AC46)o	osta-	to build up; to fortify; to surround; to surround with walls (vb)	
KZ]-u$OR46	ostol-	to circumnavigate; to come around (vb)	
w~Pg=vPR08	ostor	*town wall; circuit of walls; enclosure (n)	
zQj&SoPPWy	os	*about; *around (prep)	
J;S8mvgddY	oth-	[wrong] with a bad sense; bad; improper; unsuitable; useless; wrong (pref)	
qV?zc8}~Qa	othas	warfare (n)	
NqTAK^xRVL	othestannen	(lit.) ill-named; infamous; of evil name (adj)	
KlssNy1}-;	othgar(ed)	*wrong doing; doing wrong (n)	
k>A`-FZl*+	othgarn	*sin; misdeed (n)	
caVr(;KbF`	othidh	armistice (n)	
y15h.B;oBj	othlonn	paved way (n)	
n[C=cX+%5K	othovor	(lit.) abundant in a bad way (adj)	
hV,fWS&e/A	othra-	to escape; to get away (vb)	
cEgHy6TcUW	othrad; rath	street (n)	
KwPM(<~;C<	othren	odd; strange; weird (adj)	
gWlBXSku[6	hothrim; othrim	army (n)	
u4:08K/[oG	othrol	warlike (n)	
xTIKk2.LKM	othrond	fortress; underground city; underground stronghold (n)	
c_P`QA)?od	gothnir; othwen	amazon (n)	
KErkkHeAD&	o	*than; about; concerning (prep)	
irq3BkpTQM	pad-	to step; to walk (vb)	
FzCaR[73UE	padra-	to walk (vb)	
H0[02,Ri0g	paetha-	to speak; to talk; to utter (vb)	
g8/JnvzA>M	paethad	oratory (n)	
fv<MiOEL@O	paethas	grammar; speech-system (n)	
E`4,k><w}S	paethron	orator (n)	
K=Bsq$n,e2	paeth	speech (n)	
b&XBm_aq`H	paich	*sap; juice; syrup (n)	
QZlDMg!l3E	palan-díriel	far-gazer (n)	
F/5C8A2R*a	palan-hinnen	*(lit.) widely-known; famous (adj)	
x2Z&p^]0b$	palan-tîriel	*far-gazer (n)	
w1G7cIS{%L	palan	abroad; afar; far and wide (adv)	
B)UFaPcW-A	palt	page of book; wide flat leaf (n)	
q1%Ndz)&8R	pan-	to arrange; to order; to place; to put; to set; to write a book (vb)	
nA[WIJ{G/y	pand	courtyard (n)	
G1*e5~SM{|	pannen; sam	arranged; done; settled (adj)	
BogUV3N`yk	pant (adj)	(with article) the whole; all the; full (adj)	
PXH/>aK-i^	pant (n)	money (n)	
H7QmIa`q|K	panu	(musical) theme; arrangement; ordering; plan; structure (n)	
y`&u:eR=bp	pan (Quantity and Number)	*grouping; arrangement; settlement (n)	
~luY)kqAl	paran	bare; shaven; smooth (adj)	
oj6,J!~M>(	parchol	towel (n)	
"A.(w658#:|"	parlas	document (n)	
KitwZ^fxu~	paron	full-moon (n)	
Qs[I^@Ux,F	partha-	to arrange; to compose (vb)	
g:i1S%Jwol	partham	library (n)	
n1QVzf(arJ	parth	enclosed grassland; field; sward (n)	
JfFsor[m*N	pasta-	to nod; to shake; to wag (vb)	
Mk)Ul/z=vj	past	shaking (adj)	
eq+uYe5W_h	path-	to smooth (vb)	
oP@qzEPqGe	patha-	to reveal; to show (vb)	
t=9x0=p7tO	pathu	level space; sward (n)	
Nf{.bjln4_	paur	closed hand (n)	
"wnj/#_W@uS"	pavra-	to ail; to be ill (vb)	
"c&.vM#g-s9"	pechol	hazel (n)	
uzQ+XE?P37	cod; pech	nut (n)	
v}P<.ZK8S{	ped-	to say; to speak (vb)	
hta5QSQA;c	pedh-	to incline; to slope (vb)	
vWut{X9eYO	pedui	*utterable; able to be spoken; pronouncable (adj)	
o?9!GV8@i=	pedweg	saying a lot; talkative (adj)	
Dy,>ZU`L$(	pel-	to fade; to wane (vb)	
NG!qoi{I-j	pela(h)	(lit.) by the boundary of; along (prep)	
rwwg@XI}w0	peleth	*fading; waning (n)	
O{wLFIJe50	pell	hushed; quiet; still (adj)	
MBRV7-H+Ij	pemp	lip (n)	
z6F&S+02<E	pen (prep pref)	-less; lacking; without (prep pref)	
ms9(vr)2B`	pen (pron)	anybody; one; somebody (pron)	
h=tPpYefz^	pen-channas	*(lit.) lack-wit; idiotic; stupid (adj)	
Au}H>x,IBx	pen-ind	crazy; heartless; insane (adj)	
pVYf;z28g	pen-	to have not (vb)	
faIwYtc+J^	penbed	not pronouncable (adj)	
Or*8qaaJ<%	pend	declivity; hill side; slope; sloping (down); steep incline; steeply inclined (n adj)	
d6aU!i9GO4	penestel	despair; despairing; desperate; desperation; hopeless; hopelessness (n adj)	
h3Tan%X-96	pengas	archery (n)	
C0mCEZV>L+	pengolodh	*professor; doctor (of lore); teaching sage (n)	
n.A2oBKmO(	pengron	archer (n)	
PJmKqI4K{%	penna-	to come down (in a slant) (vb)	
CB!quC~+z5	pennig	coin (n)	
"jF:WMd#Xjr"	penninor	*new year’s eve; full year (last day of year) (n)	
fa=kc}Qk=S	pennod	without count (adj)	
r>,jVJK+rc	arnœdiad; inathadren; pennoediad	innumerable (adj)	
u?zvr};*Ao	per-	half (pref)	
LjayNtvO.W	perol	jar (n)	
"P7EF#Al}X1"	perthol	peninsula (n)	
oIO0Q4}@.t	pesgannas	(lit.) shapes of phrases; study of syntactical structures; syntax (n)	
Ae/gY@^g:i	pesgant	(lit.) phrase-shape; syntactical structure; syntax (n)	
tt5$Qg@X{K	pess (Body Parts and Functions)	feather (n)	
O6y<DFCW5?	pess (Language and Music)	[sic.] saw; a saying; proverb; saying; to say (n)	
b;go@)YE}{	pesson	(great) feather (n)	
s!!Sp`>4^W	pethgannas	(lit.) shapes of words; morphology (n)	
fG`QIyNwvA	pethgant	(lit.) word-shape; surface representation (of a word) (n)	
kl1nt{TEh$	pethlongannas	morphophonology (n)	
gx;p(SJ`X[	pethron	minstrel; narrator; reciter; speaker (n)	
"xM,&ZHWa#]"	peth	word (n)	
e5Wwr?jRkx	pibin	haw; small berry (n)	
G`A,t+(!y.	pil-	to rob; to steal; to thieve (vb)	
k8J?C5}DKB	pilimbes	arrow feathering (n)	
KN9V(R3=yR	pilin(d)	arrow; dart (n)	
QFQ_Z7!z~E	pilinoth	arrow of war; arrow sent as a summons to war (n)	
A=>?;EyJz@	pillor	bat (animal) (n)	
